ticker,name,sector,nifty50
ADANIENT.NS,Adani Enterprises,Metals & Mining,true
ADANIPORTS.NS,Adani Ports & SEZ,Services,true
APOLLOHOSP.NS,Apollo Hospitals,Healthcare,true
ASIANPAINT.NS,Asian Paints,Consumer Durables,true
AXISBANK.NS,Axis Bank,Financial Services,true
BAJAJ-AUTO.NS,Bajaj Auto,Automobile and Auto Components,true
BAJAJFINSV.NS,Bajaj Finserv,Financial Services,true
BAJFINANCE.NS,Bajaj Finance,Financial Services,true
BEL.NS,Bharat Electronics,Capital Goods,true
BHARTIARTL.NS,Bharti Airtel,Telecommunication,true
CIPLA.NS,Cipla,Healthcare,true
COALINDIA.NS,Coal India,"Oil, Gas & Consumable Fuels",true
DRREDDY.NS,Dr. Reddy's Laboratories,Healthcare,true
EICHERMOT.NS,Eicher Motors,Automobile and Auto Components,true
ETERNAL.NS,Eternal (formerly Zomato),Consumer Services,true
GRASIM.NS,Grasim Industries,Construction Materials,true
HCLTECH.NS,HCLTech,Information Technology,true
HDFCBANK.NS,HDFC Bank,Financial Services,true
HDFCLIFE.NS,HDFC Life,Financial Services,true
HINDALCO.NS,Hindalco Industries,Metals & Mining,true
HINDUNILVR.NS,Hindustan Unilever,Fast Moving Consumer Goods,true
ICICIBANK.NS,ICICI Bank,Financial Services,true
INDIGO.NS,IndiGo,Services,true
INFY.NS,Infosys,Information Technology,true
ITC.NS,ITC,Fast Moving Consumer Goods,true
JIOFIN.NS,Jio Financial Services,Financial Services,true
JSWSTEEL.NS,JSW Steel,Metals & Mining,true
KOTAKBANK.NS,Kotak Mahindra Bank,Financial Services,true
LT.NS,Larsen & Toubro,Construction,true
M&M.NS,Mahindra & Mahindra,Automobile and Auto Components,true
MARUTI.NS,Maruti Suzuki,Automobile and Auto Components,true
MAXHEALTH.NS,Max Healthcare,Healthcare,true
NESTLEIND.NS,Nestlé India,Fast Moving Consumer Goods,true
NTPC.NS,NTPC,Power,true
ONGC.NS,Oil and Natural Gas Corporation,"Oil, Gas & Consumable Fuels",true
POWERGRID.NS,Power Grid,Power,true
RELIANCE.NS,Reliance Industries,"Oil, Gas & Consumable Fuels",true
SBILIFE.NS,SBI Life Insurance Company,Financial Services,true
SBIN.NS,State Bank of India,Financial Services,true
SHRIRAMFIN.NS,Shriram Finance,Financial Services,true
SUNPHARMA.NS,Sun Pharma,Healthcare,true
TATACONSUM.NS,Tata Consumer Products,Fast Moving Consumer Goods,true
TATASTEEL.NS,Tata Steel,Metals & Mining,true
TCS.NS,Tata Consultancy Services,Information Technology,true
TECHM.NS,Tech Mahindra,Information Technology,true
TITAN.NS,Titan Company,Consumer Durables,true
